gender,age_range,city_name,state_name,country_name,user_count,subject,description,link,image_link,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10
male,18-24,San Diego,California,United States,1,Trailer Park Boys (TV Series 2001–2018),Raunchy comedy at its finest. Available on Netflix. ,http://www.imdb.com/title/tt0290988/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/c851eccf-7bdc-4d78-a9fa-65463769ea03_1630477260672_09019b37_5705_49e3_9cf4_2631e17fff0c.jpg,TV,stupid,silly,shows,show,Series,raunchy,Park,Netflix,hilarious
male,25-34,Cathedral City,California,United States,1,Above & Beyond feat. Gemma Hayes - Counting Down The Days (Yotto Remix),What a mix,https://www.youtube.com/watch?v=Ucw8q-j8l_w,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/e21c7dc7-3641-4014-a169-389fdbb2f09d_1630477753964_4cf40302_cfe1_4a13_b67b_4a38be38c8e5.gif,sensational,euphoric,beautiful,edm,Yotto,Remix,music,gemma hayes,ethereal,electronic
male,25-34,San Diego,California,United States,4,‘Professor Splash’ is the ‘Evel Knievel’ of the kiddie pool | E:60,Wtf did I just watch. This dude is nuts! Fun 3 minutes I guess...,https://www.youtube.com/watch?v=nV-1S7SRxtk&t=0s&list=PL1Cn0PuMhU-3wjpu5oC8rxK1Dz090b3wm&index=25,http://www2.pictures.zimbio.com/gi/Professor+Splash+Attempts+Dive+12+Inches+Cornish+FA_6SlWao_Cx.jpg,wtf,world record,weird videos,pool,strange,Silly,professor splash,weird talents,weird talent,weird
female,18-24,Beaverton,Oregon,United States,1,paloma the peach.,"Amazing artist! She has such cool stuff in her shop, and makes cool Youtube videos as well.",https://palomathepeach.com/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/31e5fc03-f1ff-441f-b57f-df7b64a5501a_1630474325858_b67ab9be_3bbd_4b57_9f6c_5a4452055314.png,youtube,peach,Gift,Cute,art,,,,,
male,18-24,San Diego,California,United States,5,GASHI - Used To Be (Official Video)[Explicit],Bonafide banger,https://www.youtube.com/watch?v=za_7j4vSRyA,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/eb0e3530-56cc-43f3-b71a-56a3a8742426_1630477922734_9c7793e7_66da_4e00_97c6_5f22394551b0.jpg,fire,Honesty Saves Time/RCA Records,Video)[Explicit,Used To Be,Used,turnt,turn up,swaggy,songs,song
male,25-34,San Diego,California,United States,2,The End of the Tour (2015),Brilliant. Insightful. And heartbreaking. Recently available on Netflix. A must watch for anyone who enjoys movies that make you think.,https://www.imdb.com/title/tt3416744/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/b7a425eb-c0fb-4057-8701-c97381b2f174_1630476936160_2d3668d6_1651_4ec8_9566_ce750017c849.jpg,Heartbreaking,Writing,Writer,Tour,Segel,Segal,Sadness,Sad,Powerful,on Hold
female,25-34,San Diego,California,United States,2,Sunglass Hut ,Wide variety of affordable sunglasses! Find a location near you! ,http://www.sunglasshut.com,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/93829220-cb1d-429f-8301-30d8f9446a88_1630476209238_60b981b9_9805_4687_b820_8adc7051fd16.jpg,style,glasses,Fashion,Sunglasses Hot New Affordable Rayban Fas,sunglasses,sun,stores,shopping,shades,retail
male,25-34,San Diego,California,United States,1,ROSALÍA - LA COMBI VERSACE (Official Audio) ft. Tokischa,,https://youtu.be/y28_bM8h_Cg,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/de86c697-02f7-4f56-939c-06e809f554a3_1673374994970_10595b18_fc92_467f_a36c_6a0d66f8a1db.jpg,trippy,rosalia,music,dark,chill,,,,,
male,25-34,San Diego,California,United States,2,Stairway to Heaven - Remaster,Fantastic song from one of my favorite bands Led Zeppelin ,https://open.spotify.com/track/5CQ30WqJwcep0pYcV4AMNc?si=R-CBcUZLSqqivuiRM1CD3Q,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/c6ae05d0-f606-42bf-b4e6-ae1178c24884_1630477232176_e4b261d9_961b_4fb6_84fc_fc3562784585.jpg,music,rock,relaxed,Relax,Peaceful,musician,lyrics,Led Zeppelin ,guitar,Emotional
female,25-34,San Diego,California,United States,1,The Hot Chick ,,http://www.imdb.com/title/tt0302640/,https://fantastic-item-background-images.s3.us-west-2.amazonaws.com/80680b51-55c9-4f07-a29e-0f3a4300f5e7_1630475849861_f9446ac7_7677_4be4_917e_2cf4bec90a1d.jpg,Movie,Hot,Comedy,Chickflick,Chick,2002,,,,
